year,month,province_ifls1,district_ifls1,province,district,district_name,precip_cm,lat,lon
1950,1,11.0,5.0,,,aceh barat,29.16,4.75,96.25
1950,1,11.0,6.0,,,aceh besar,,5.75,95.25
1950,1,11.0,1.0,11.0,3.0,aceh selatan,31.98,3.25,97.25
1950,1,,,11.0,2.0,aceh singkil,,2.25,97.75
1950,1,11.0,4.0,11.0,6.0,aceh tengah,26.060001,3.75,97.25
1950,1,11.0,2.0,11.0,4.0,aceh tenggara,25.87,3.75,97.75
1950,1,11.0,3.0,11.0,5.0,aceh timur,25.7,4.75,97.75
1950,1,11.0,8.0,,,aceh utara,22.03,5.25,96.75
1950,1,,,92.0,1.0,adm. mimika,,-4.75,136.25
1950,1,,,92.0,3.0,adm. paniai,30.98,-3.25,136.75
1950,1,13.0,6.0,13.0,7.0,agam,36.16,-0.25,100.25
1950,1,54.0,9.0,54.0,,aileu,42.78,-8.75,125.75
1950,1,54.0,2.0,54.0,,ainaro,42.78,-8.75,125.75
1950,1,53.0,7.0,53.0,,alor,40.48,-8.25,124.25
1950,1,54.0,13.0,54.0,,ambeno,47.329998,-9.25,124.25
1950,1,81.0,71.0,81.0,71.0,ambon,,-3.75,128.25
1950,1,12.0,6.0,12.0,8.0,asahan,,3.25,99.75
1950,1,,,14.0,72.0,b a t a m,,1.25,104.25
1950,1,51.0,3.0,51.0,3.0,badung,51.51,-8.25,115.25
1950,1,64.0,71.0,64.0,71.0,balikpapan,29.74,-1.25,116.75
1950,1,11.0,71.0,,,banda aceh,,5.75,95.25
1950,1,18.0,71.0,18.0,71.0,bandar lampung,11.3,-5.25,105.25
1950,1,32.0,6.0,32.0,6.0,bandung,20.33,-6.75,107.75
1950,1,32.0,73.0,32.0,73.0,bandung,20.33,-6.75,107.75
1950,1,,,72.0,2.0,banggai,7.65,-0.75,123.25
1950,1,16.0,7.0,16.0,7.0,bangka,,-2.25,106.25
1950,1,35.0,26.0,35.0,26.0,bangkalan,,-6.75,112.75
1950,1,51.0,6.0,51.0,6.0,bangli,,-8.25,115.75
1950,1,63.0,3.0,63.0,3.0,banjar,27.720001,-3.25,114.75
1950,1,,,63.0,30.0,banjar baru,27.720001,-3.25,114.75
1950,1,63.0,71.0,63.0,71.0,banjarmasin,27.720001,-3.25,114.75
1950,1,33.0,4.0,33.0,4.0,banjarnegara,38.89,-7.25,109.75
1950,1,73.0,3.0,73.0,3.0,bantaeng,72.72,-5.25,119.75
1950,1,34.0,2.0,34.0,2.0,bantul,19.82,-7.75,110.75
1950,1,33.0,2.0,33.0,2.0,banyumas,38.29,-7.25,109.25
1950,1,35.0,10.0,35.0,10.0,banyuwangi,23.48,-8.25,114.25
1950,1,63.0,4.0,63.0,4.0,barito kuala,24.9,-2.75,114.75
1950,1,62.0,4.0,62.0,4.0,barito selatan,22.5,-1.75,114.75
1950,1,62.0,5.0,62.0,5.0,barito utara,19.25,-0.75,114.75
1950,1,73.0,10.0,73.0,10.0,barru,13.69,-4.25,119.75
1950,1,14.0,72.0,14.0,72.0,batam,,1.25,104.25
1950,1,33.0,25.0,33.0,25.0,batang,,-6.75,109.75
1950,1,15.0,4.0,15.0,4.0,batang hari,20.26,-1.75,103.75
1950,1,54.0,6.0,54.0,,baukau,44.56,-8.75,126.75
1950,1,32.0,18.0,32.0,18.0,bekasi,7.3900003,-6.25,107.25
1950,1,16.0,8.0,16.0,8.0,belitung,,-2.75,108.25
1950,1,53.0,6.0,53.0,,belu,37.04,-9.25,124.75
1950,1,14.0,5.0,14.0,8.0,bengkalis,,1.75,101.75
1950,1,17.0,71.0,17.0,71.0,bengkulu,36.3,-3.75,102.25
1950,1,,,17.0,,bengkulu,36.3,-3.75,102.25
1950,1,17.0,2.0,17.0,2.0,bengkulu lebong,38.43,-3.25,102.75
1950,1,17.0,1.0,17.0,1.0,bengkulu selatan,31.34,-4.25,103.25
1950,1,17.0,3.0,17.0,3.0,bengkulu utara,40.120003,-2.75,101.75
